Wall time,Step,Value
1556437974.4386563,5973943,20.575000762939453
1556438211.111236,5990054,22.690000534057617
1556438577.4684153,6014863,21.274999618530273
1556438640.0917284,6018856,20.434999465942383
1556438739.0996938,6025264,19.81999969482422
1556439033.1509798,6044276,19.940000534057617
1556439093.6293259,6048335,20.19499969482422
1556439297.9404967,6061492,19.079999923706055
1556439409.6318765,6068636,18.969999313354492
1556439473.2441983,6072931,19.225000381469727
1556439968.0393338,6104202,20.885000228881836
1556440711.7381222,6151374,20.84000015258789
1556440902.911756,6164024,19.670000076293945
1556441038.2053325,6172792,19.829999923706055
1556441248.1264157,6185514,19.825000762939453
1556441501.8252814,6201429,19.614999771118164
1556441746.4384942,6216875,21.100000381469727
1556441754.4830372,6217335,20.354999542236328
1556441799.8299565,6220127,21.475000381469727
1556441959.3589218,6229942,20.834999084472656
1556442067.142316,6236625,20.40999984741211
1556442126.7475913,6240391,19.239999771118164
1556442419.1459692,6258301,20.079999923706055
1556442914.880013,6289858,20.204999923706055
1556443122.4885268,6303276,20.389999389648438
1556443144.9224305,6304760,20.959999084472656
1556443409.7632234,6321682,18.219999313354492
1556443625.9688065,6336116,18.46500015258789
1556443755.7339315,6344900,19.875
1556443845.7966774,6350962,20.725000381469727
1556443898.0485835,6354486,20.235000610351562
1556444489.562951,6393991,19.204999923706055
1556444634.8434222,6402821,18.594999313354492
1556444753.6756659,6409784,17.690000534057617
1556444913.7744672,6419894,17.790000915527344
1556445304.7402296,6443592,20.260000228881836
